function,E,lipschitz_factor,kernel,local_std_label,local_std_value,seed,init_x,safety_violations,no_opt_possible,final_pred_opt,avg_pred_opt,true_optimum,ratio,n_observations,setting,L_base,L_source,violation_class
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,1,"[1.0305263996124268, -0.8827564716339111, -0.3877229690551758, 0.9387378692626953]",0,False,0.9470871686935425,0.8852114985066075,1.0,0.9470871686935425,31,new_L_raw,3.2775618987289925,new,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,2,"[0.45878028869628906, -0.4759485721588135, 0.5484573841094971, -0.10215568542480469]",0,False,0.9915406107902527,0.9775621045020318,1.0,0.9915406107902527,31,new_L_raw,3.2775618987289925,new,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,3,"[-1.7595348358154297, 1.08746337890625, 0.9747974872589111, 0.3776848316192627]",0,False,0.98567795753479,0.9313175908980831,1.0,0.98567795753479,31,new_L_raw,3.2775618987289925,new,none
rosenbrock_4D,0.0,1.0,matern52,medium,0.05,4,"[0.08811616897583008, -0.7170305252075195, 0.42951345443725586, 0.0930476188659668]",0,False,0.9875522255897522,0.9790504171002296,1.0,0.9875522255897522,31,new_L_raw,3.2775618987289925,new,none
sphere_4D,0.05,1.1,matern52,medium,0.05,0,"[0.4368913173675537, 0.5190907716751099, 0.6158523559570312, 0.8101882934570312]",0,False,0.8633754253387451,0.839946775667129,1.0,0.8633754253387451,31,old_L_factored,2.0,old,none
sphere_4D,0.05,1.1,matern52,medium,0.05,1,"[0.6386804580688477, 0.524665892124176, 0.6826140880584717, 0.30514949560165405]",0,False,0.9155521392822266,0.883108425524927,1.0,0.9155521392822266,31,old_L_factored,2.0,old,none
sphere_4D,0.05,1.1,matern52,medium,0.05,2,"[0.6146950721740723, 0.38101285696029663, 0.6371143460273743, 0.47446107864379883]",0,False,0.904543399810791,0.9018768129810211,1.0,0.904543399810791,31,old_L_factored,2.0,old,none
sphere_4D,0.05,1.1,matern52,medium,0.05,3,"[0.5824220776557922, 0.4283205270767212, 0.44330739974975586, 0.17471283674240112]",0,False,0.8868365287780762,0.8224123966309332,1.0,0.8868365287780762,31,old_L_factored,2.0,old,none
sphere_4D,0.05,1.1,matern52,medium,0.05,4,"[0.5220290422439575, 0.3207423686981201, 0.607378363609314, 0.5232619047164917]",0,False,0.943665087223053,0.9016350911509606,1.0,0.943665087223053,31,old_L_factored,2.0,old,none
sphere_4D,0.05,1.1,matern52,medium,0.05,0,"[0.4368913173675537, 0.5190907716751099, 0.6158523559570312, 0.8101882934570312]",0,False,0.9417734146118164,0.8825539908101482,1.0,0.9417734146118164,31,new_L_factored,1.0,new,none
