Y,X1,X2,X3,X4,X5,X6,regret,iteration,seed,config,timestamp,run_label
0.5372404,0.02928058,0.18472035,0.33049187,0.0900292,0.39374185,0.60690445,0.48568982,73.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.54011863,0.02896249,0.1852137,0.34749603,0.09183062,0.39468053,0.6059486,0.48568982,74.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5554584,0.033393294,0.17223653,0.3437423,0.0900292,0.39374185,0.60690445,0.48568982,75.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5447367,0.026107665,0.18939199,0.33980522,0.08977387,0.39432174,0.6072125,0.48568982,76.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.54251593,0.030899234,0.18972409,0.33601177,0.08972791,0.39242718,0.60690445,0.48568982,77.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5253053,0.026086796,0.20764248,0.32817632,0.09215872,0.39698735,0.60591304,0.48568982,78.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.53236145,0.024826486,0.19644427,0.3306134,0.08992427,0.3940553,0.6072656,0.48568982,79.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.55693585,0.027030895,0.20961083,0.31959403,0.10650824,0.38911676,0.61062163,0.48568982,80.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5245065,0.024876673,0.19475149,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,81.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5172964,0.025966365,0.20269889,0.33771378,0.08625678,0.3973663,0.61266166,0.48568982,82.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.53915536,0.027857691,0.20648603,0.32448542,0.094124556,0.38925654,0.61822295,0.48568982,83.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5452629,0.029349297,0.1924415,0.34109733,0.090848744,0.39182624,0.6054359,0.48568982,84.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5316732,0.027204312,0.20407356,0.319672,0.0915658,0.39238527,0.61316067,0.48568982,85.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.52671033,0.02992116,0.18446922,0.3343527,0.088657014,0.3945321,0.60723263,0.48568982,86.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5471094,0.027013902,0.18493395,0.33182588,0.09214241,0.38922563,0.60690445,0.48568982,87.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5308856,0.026303388,0.19858114,0.3214119,0.095474474,0.39543605,0.60871774,0.48568982,88.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5236889,0.030012697,0.1932507,0.33893985,0.08848782,0.3948925,0.5862917,0.48568982,89.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5283026,0.026652899,0.19277152,0.33151606,0.0900292,0.39374185,0.60690445,0.48568982,90.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.52522194,0.030149516,0.17753702,0.3315602,0.080144465,0.39374846,0.6056812,0.48568982,91.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5179148,0.027575806,0.18365945,0.33385995,0.082872294,0.39799047,0.6073931,0.48568982,92.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.53584427,0.026907485,0.18625388,0.33552945,0.08950302,0.39399233,0.60833913,0.48568982,93.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5304994,0.025107063,0.2034287,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,94.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5303799,0.026704937,0.20744045,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,95.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.54221493,0.029347528,0.19801912,0.3318052,0.0900292,0.39374185,0.60690445,0.48568982,96.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5347591,0.027306583,0.18861501,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,97.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.55875885,0.02806669,0.19760242,0.3272634,0.10547968,0.38911676,0.61062163,0.48568982,98.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
